Iteration,Temps_Fourmis_ms,Temps_Evaporation_ms,Temps_Update_ms
10,4.15137,0.989987,0.0170815
20,4.52309,1.05889,0.0184282
30,4.15467,0.942606,0.0141028
40,4.64639,1.14623,0.0225776
50,5.24544,1.28444,0.0185242
60,4.79104,1.12987,0.0207977
70,4.46674,1.09114,0.020969
80,4.57114,1.02895,0.0164816
90,4.13063,0.990399,0.0223752
100,4.13755,0.939626,0.0215748
110,4.01078,0.942784,0.0201248
120,3.5726,0.930222,0.018043
130,3.7049,0.967469,0.0193935
140,3.90186,1.00672,0.0325212
150,3.79356,0.998973,0.0225984
160,3.72472,0.990573,0.0201152
170,3.85512,0.946348,0.0197394
180,3.944,0.949286,0.0197103
190,3.88789,0.977376,0.0195582
200,4.11194,0.993411,0.0287693
210,3.93192,1.00997,0.0357246
220,3.60036,1.04192,0.034075
230,3.96216,1.06087,0.0391279
240,3.72507,1.07235,0.0361613
250,3.7618,1.08588,0.0371999
260,3.91472,1.11759,0.0423342
270,4.13515,1.15152,0.0469924
280,3.81066,1.0716,0.0396286
290,4.11783,1.08909,0.0309762
300,4.02854,1.10841,0.0332692
310,4.79674,1.08982,0.027684
320,4.13435,1.09618,0.0290569
330,4.03512,1.10416,0.0367151
340,4.21936,1.01435,0.0212191
350,3.96699,0.887639,0.021766
360,3.91224,0.898834,0.0196987
370,4.02797,1.06317,0.0274309
380,4.04078,0.980004,0.0276567
390,4.01001,0.996451,0.0327244
400,4.09872,1.06058,0.0401027
410,3.61866,1.05115,0.0353887
420,4.14132,1.06746,0.0341129
430,3.22381,0.803805,0.0162492
440,4.04011,0.991391,0.0225776
450,4.18091,0.99917,0.0254736
460,4.15917,1.02602,0.0195387
470,3.86962,0.939338,0.017808
480,4.20816,0.948803,0.0218165
490,3.48153,0.972667,0.0284003
500,3.79885,0.990621,0.0199282
510,3.58359,0.967012,0.0196555
520,3.64471,0.955867,0.0365441
530,3.59157,0.977287,0.0367968
540,3.95333,0.997878,0.0315305
550,3.8162,1.06211,0.0399733
560,3.97959,0.987028,0.025363
570,3.8694,0.952691,0.0260434
580,3.83954,0.963249,0.023337
590,3.65235,0.95207,0.0244702
600,3.52015,0.917291,0.0251813
610,3.57161,0.904911,0.0288213
620,3.77052,0.993064,0.0293319
630,3.61075,0.944684,0.028586
640,3.42126,0.94856,0.0305382
650,3.24996,0.865127,0.0254325
660,3.38362,0.964763,0.0367765
670,3.39069,0.933414,0.0301221
680,3.3493,0.919238,0.0322557
690,3.58448,0.96594,0.0332561
700,3.68837,0.902814,0.0289386
710,3.50459,0.97407,0.0290196
720,3.47443,1.01512,0.0483716
730,3.15408,0.896366,0.0310464
740,3.80196,0.910067,0.0178412
750,3.58304,0.940165,0.0332871
760,3.2508,0.903567,0.0336747
770,3.11286,0.833116,0.0269214
780,2.93894,0.827637,0.0290285
790,3.53037,0.941674,0.0284666
800,2.99413,0.741464,0.0192841
810,3.70516,0.940425,0.0391585
820,3.32141,0.874703,0.0281812
830,3.62429,0.882961,0.0259094
840,3.17088,0.814384,0.0291568
850,2.91521,0.824658,0.0262164
860,3.54351,0.941391,0.0282564
870,3.13664,0.830344,0.0200858
880,3.44335,0.826821,0.015452
890,3.7404,0.889902,0.0184057
900,2.95419,0.784139,0.013677
910,3.06744,0.778511,0.0147183
920,3.11039,0.803158,0.0161617
930,3.02863,0.858047,0.0247176
940,2.75826,0.722855,0.0154656
950,2.9779,0.788674,0.0176883
960,2.72272,0.747366,0.012402
970,3.27129,0.78874,0.020474
980,2.96539,0.808857,0.0238709
990,2.63805,0.752504,0.0232571
1000,2.87039,0.758622,0.0267449
1010,2.89418,0.706294,0.011879
1020,3.32621,0.826146,0.0221905
1030,2.69746,0.687538,0.0120633
1040,2.76827,0.664994,0.0163806
1050,3.07351,0.790819,0.0216366
1060,3.18698,0.785346,0.0230468
1070,2.89555,0.776935,0.0221336
1080,2.71506,0.768109,0.0214368
1090,2.77104,0.786735,0.0266328
1100,2.5095,0.709902,0.0194061
1110,2.45176,0.753576,0.0221616
1120,2.82789,0.829254,0.0196887
1130,2.89257,0.805307,0.0236511
1140,2.41679,0.665799,0.011727
1150,5.02257,1.03126,0.0186304
1160,2.39405,0.743032,0.0243588
1170,2.85053,0.759689,0.0186239
1180,2.66031,0.741316,0.0129408
1190,2.59418,0.732388,0.0227774
1200,2.29655,0.676298,0.0185614
1210,2.77296,0.803763,0.0267094
1220,2.91236,0.723938,0.0206509
1230,2.24818,0.685858,0.0176976
1240,2.48201,0.759893,0.0216738
1250,2.14364,0.703769,0.0251053
1260,2.49163,0.69086,0.0153266
1270,2.19202,0.583776,0.0086221
1280,2.56357,0.754326,0.0272453
1290,2.14222,0.620562,0.0204717
1300,2.63673,0.667758,0.0109668
1310,2.1236,0.599878,0.011303
1320,2.40777,0.738483,0.0196634
1330,2.40512,0.667278,0.009942
1340,1.99997,0.669183,0.0078196
1350,2.05408,0.605885,0.0081089
1360,2.0945,0.637053,0.0082893
1370,2.09117,0.60793,0.0086058
1380,2.0468,0.588646,0.0081293
1390,2.05171,0.618811,0.0093177
1400,2.05867,0.646551,0.0123581
1410,2.40055,0.709424,0.0212103
1420,2.35064,0.599514,0.0147898
1430,2.42676,0.681929,0.0156109
1440,2.25928,0.63257,0.0107443
1450,1.88572,0.58197,0.0076355
1460,1.8901,0.514593,0.0075841
1470,1.86184,0.534541,0.0086697
1480,1.87491,0.560401,0.0076741
1490,1.93577,0.602614,0.0088928
1500,1.87263,0.603492,0.0107335
1510,1.86504,0.538616,0.0081033
1520,1.88172,0.559409,0.0106652
1530,2.59883,0.789437,0.0177879
1540,2.29581,0.609652,0.0097507
1550,1.89501,0.587986,0.0074346
1560,2.39621,0.702127,0.0230089
1570,1.92512,0.561163,0.0156948
1580,2.33023,0.669727,0.0169864
1590,2.26015,0.743831,0.0183789
1600,2.25393,0.667932,0.0192438
1610,2.10871,0.593526,0.0162543
1620,1.94738,0.601961,0.013385
1630,2.32539,0.648655,0.0148545
1640,2.43895,0.714454,0.0181011
1650,1.88736,0.610017,0.013518
1660,2.52458,0.69619,0.0178813
1670,2.16934,0.60588,0.0129779
1680,1.95557,0.59989,0.0190257
1690,1.86496,0.519718,0.014867
1700,2.16959,0.540379,0.0146414
1710,1.89746,0.605529,0.0146037
1720,1.82157,0.618911,0.016917
1730,2.21693,0.656138,0.0197151
1740,2.29195,0.654096,0.0177171
1750,1.83263,0.51165,0.0133987
1760,1.80794,0.520385,0.0141457
1770,1.80056,0.509852,0.0136579
1780,1.80981,0.497997,0.0140457
1790,3.00677,0.834214,0.0255089
1800,1.82875,0.516154,0.0143563
1810,2.24819,0.666268,0.0207681
1820,2.1047,0.603139,0.0158271
1830,1.84245,0.503579,0.0144653
1840,2.20252,0.669331,0.0214482
1850,1.76774,0.531797,0.0137646
1860,1.82774,0.514229,0.0131256
1870,1.79947,0.489245,0.0137999
1880,1.75188,0.507733,0.0159024
1890,1.80561,0.483322,0.0135538
1900,1.73739,0.505498,0.0136698
1910,2.1462,0.586521,0.0143764
1920,1.76417,0.491168,0.0127932
1930,1.76335,0.51612,0.0132965
1940,1.71053,0.497658,0.0137921
1950,1.72775,0.503747,0.0140202
1960,1.7663,0.506557,0.014131
1970,1.75982,0.561174,0.0138561
1980,2.15646,0.673995,0.0112198
1990,1.89021,0.625317,0.015682
2000,2.00421,0.562995,0.0112298
2010,2.68139,0.756567,0.0229996
2020,1.73394,0.557696,0.0124993
2030,1.74989,0.570506,0.0146257
2040,2.01351,0.580275,0.0150049
