Threads,Temps_Creation_Fourmis,Iteration_Nourriture,Temps_Computation,Temps_Total
1,0.04483,2585,5804.28,32052.5
2,0.079163,2585,7069.82,32154.5
2,0.022042,2585,6906.32,32156.3
4,0.035979,2585,15084.5,32987.2
4,0.044791,2585,15089,32987.5
4,0.035939,2585,15493.9,32988.4
4,0.014687,2585,15306,32992
8,0.109104,2585,32536.3,49631.4
8,0.108948,2585,33839,49634.3
8,0.049999,2585,32534.8,49637.8
8,0.137316,2585,33857.9,49622.1
8,0.115154,2585,33649.1,49630.2
8,0.103364,2585,33647.6,49633.3
8,0.090365,2585,33447.3,49630.4
8,0.011802,2585,33297.7,49637.3
12,0.084029,2698,74622.2,101077
12,0.047265,2698,75944.7,101085
12,0.046966,2698,73416.5,101078
12,0.226022,2698,67818.3,101072
12,0.061252,2698,73853.8,101083
12,0.103916,2698,68856.4,101072
12,0.095389,2698,68981.3,101075
12,0.0972,2698,70745.2,101076
12,0.045894,2698,74397,101084
12,0.03803,2698,76528.4,101083
12,0.094192,2698,73854.5,101077
12,0.013949,2698,59293.8,101086
