Iteration,Temps_Fourmis_ms,Temps_Evaporation_ms,Temps_Update_ms
10,1.6649,0.1237,0.0016
20,1.7227,0.1217,0.001
30,1.9135,0.1482,0.0014
40,2.564,0.2069,0.002
50,3.2821,0.2697,0.002
60,3.5325,0.2925,0.0022
70,3.2587,0.2791,0.0021
80,3.4788,0.2968,0.002
90,3.4897,0.3074,0.0021
100,3.5491,0.3066,0.0024
110,3.5436,0.3087,0.002
120,3.3936,0.28,0.0021
130,3.6622,0.2683,0.0017
140,3.5703,0.2922,0.0019
150,3.4293,0.2841,0.0019
160,3.4425,0.2838,0.0021
170,3.4295,0.2936,0.0018
180,3.1942,0.2355,0.0023
190,3.5294,0.2926,0.0037
200,3.7047,0.3188,0.0022
210,3.4657,0.2774,0.0018
220,3.542,0.2989,0.0023
230,3.5562,0.3036,0.0025
240,3.5087,0.2901,0.0019
250,3.5102,0.2891,0.0019
260,3.5172,0.2961,0.0021
270,3.4927,0.3077,0.0019
280,3.385,0.2928,0.002
290,3.4687,0.2937,0.002
300,3.2976,0.2843,0.0021
310,3.6149,0.3135,0.002
320,2.363,0.2033,0.0014
330,2.9257,0.2565,0.0018
340,3.3416,0.2748,0.0019
350,3.2257,0.2757,0.0021
360,3.4222,0.305,0.0021
370,3.5197,0.2978,0.0021
380,3.3967,0.2843,0.0021
390,3.3572,0.2864,0.0025
400,3.3903,0.2874,0.002
410,3.4199,0.2946,0.0021
420,3.2612,0.2776,0.002
430,3.4,0.2773,0.0019
440,3.3208,0.2768,0.0021
450,3.2593,0.2758,0.0021
460,3.4593,0.2839,0.0018
470,3.1879,0.2631,0.0018
480,3.331,0.24,0.003
490,3.2987,0.2241,0.0024
500,3.4502,0.2917,0.0018
510,3.4289,0.2838,0.0021
520,3.4713,0.285,0.002
530,3.4964,0.2452,0.0017
540,3.5185,0.2928,0.0018
550,3.2906,0.2628,0.0018
560,3.2927,0.2754,0.0018
570,3.2777,0.2783,0.0018
580,3.2267,0.2746,0.002
590,3.2691,0.2764,0.0018
600,3.364,0.2744,0.0019
610,3.2143,0.2763,0.002
620,2.1531,0.1805,0.0012
630,2.9869,0.2627,0.0016
640,3.1524,0.2681,0.0017
650,3.1753,0.2761,0.0017
660,3.1783,0.2773,0.0017
670,3.2957,0.2767,0.0019
680,3.2162,0.277,0.002
690,3.1063,0.2753,0.002
700,3.1259,0.2746,0.0017
710,3.1626,0.2763,0.0017
720,3.2457,0.2786,0.0018
730,3.5289,0.2503,0.0017
740,3.1856,0.2599,0.0016
750,3.0889,0.2522,0.0016
760,2.9786,0.2426,0.0014
