Iteration,ActiveTime_ms,NumAnts,FoodCount
1,0.178,414,0
2,0.205,407,0
3,0.157,412,0
4,0.165,414,0
5,0.174,408,0
6,0.132,413,0
7,0.13,412,0
8,0.131,415,0
9,0.132,410,0
10,0.317,413,0
11,0.138,419,0
12,0.152,417,0
13,0.237,421,0
14,0.295,420,0
15,0.339,415,0
16,0.187,419,0
17,0.175,418,0
18,0.141,420,0
19,0.174,416,0
20,0.229,413,0
21,0.14,412,0
22,0.285,405,0
23,0.151,415,0
24,0.237,410,0
25,0.294,408,0
26,0.161,406,0
27,0.151,403,0
28,0.324,403,0
29,0.156,408,0
30,0.159,403,0
31,0.171,404,0
32,0.28,410,0
33,0.172,402,0
34,0.212,402,0
35,0.269,400,0
36,0.317,400,0
37,0.252,403,0
38,0.185,407,0
39,0.336,405,0
40,0.201,398,0
41,0.197,403,0
42,0.2,399,0
43,0.383,388,0
44,0.416,392,0
45,0.216,391,0
46,0.196,387,0
47,0.188,393,0
48,0.204,397,0
49,0.2,395,0
50,0.295,394,0
51,0.2,400,0
52,0.214,400,0
53,0.205,400,0
54,0.281,396,0
55,0.296,400,0
56,0.276,401,0
57,0.259,406,0
58,0.206,404,0
59,0.28,410,0
60,0.204,411,0
61,0.211,408,0
62,0.279,413,0
63,0.256,403,0
64,0.208,399,0
65,0.226,405,0
66,0.2,402,0
67,0.209,402,0
68,0.224,404,0
69,0.237,408,0
70,0.237,411,0
71,0.236,404,0
72,0.239,404,0
73,0.327,410,0
74,0.204,407,0
75,0.228,408,0
76,0.27,408,0
77,0.323,411,0
78,0.294,418,0
79,0.239,415,0
80,0.184,411,0
81,0.186,409,0
82,0.255,411,0
83,0.261,415,0
84,0.214,410,0
85,0.294,404,0
86,0.19,417,0
87,0.227,414,0
88,0.191,412,0
89,0.199,412,0
90,0.267,417,0
91,0.265,403,0
92,0.224,406,0
93,0.197,412,0
94,0.224,411,0
95,0.232,417,0
96,0.259,412,0
97,0.27,409,0
98,0.236,418,0
99,0.259,419,0
100,0.227,419,0
101,0.26,420,0
102,0.214,425,0
103,0.378,419,0
104,0.407,417,0
105,0.371,419,0
106,0.472,411,0
107,0.331,409,0
108,0.374,410,0
109,0.35,408,0
110,0.372,412,0
111,0.264,408,0
112,0.22,399,0
113,0.323,400,0
114,0.173,406,0
115,0.345,402,0
116,0.184,402,0
117,0.2,398,0
118,0.179,403,0
119,0.263,405,0
120,0.172,398,0
121,0.176,400,0
122,0.163,394,0
123,0.291,391,0
124,0.164,391,0
125,0.144,394,0
126,0.15,394,0
127,0.238,398,0
128,0.284,401,0
129,0.154,393,0
130,0.143,395,0
131,0.171,401,0
132,0.228,397,0
133,0.275,397,0
134,0.185,395,0
135,0.154,395,0
136,0.161,401,0
137,0.182,396,0
138,0.138,404,0
139,0.155,406,0
140,0.22,403,0
141,0.179,404,0
142,0.233,407,0
143,0.159,411,0
144,0.148,413,0
145,0.137,412,0
146,0.153,420,0
147,0.138,416,0
148,0.15,415,0
149,0.328,412,0
150,0.279,410,0
151,0.344,412,0
152,0.281,407,0
153,0.284,400,0
154,0.296,397,0
155,0.303,403,0
156,0.255,404,0
157,0.335,407,0
158,0.362,412,0
159,0.349,408,0
160,0.232,407,0
161,0.232,407,0
162,0.247,407,0
163,0.326,401,0
164,0.228,403,0
165,0.241,405,0
166,0.196,408,0
167,0.286,413,0
168,0.39,409,0
169,0.274,414,0
170,0.219,407,0
171,0.259,410,0
172,0.207,416,0
173,0.203,412,0
174,0.246,411,0
175,0.322,409,0
176,0.198,412,0
177,0.336,409,0
178,0.209,405,0
179,0.3,406,0
180,0.228,400,0
181,0.248,397,0
182,0.231,402,0
183,0.214,402,0
184,0.2,401,0
185,0.232,397,0
186,0.2,392,0
187,0.235,388,0
188,0.37,384,0
189,0.193,387,0
190,0.225,389,0
191,0.192,384,0
192,0.223,380,0
193,0.191,390,0
194,0.246,391,0
195,0.235,382,0
196,0.355,386,0
197,0.35,386,0
198,0.296,390,0
199,0.216,390,0
200,0.222,389,0
201,0.323,383,0
202,0.265,391,0
203,0.228,388,0
204,0.296,383,0
205,0.217,388,0
206,0.343,379,0
207,0.335,388,0
208,0.325,386,0
209,0.323,396,0
210,0.33,394,0
211,0.228,386,0
212,0.202,392,0
213,0.301,386,0
214,0.32,385,0
215,0.203,393,0
216,0.203,393,0
217,0.204,394,0
218,0.219,395,0
219,0.249,395,0
220,0.309,390,0
221,0.191,389,0
222,0.247,391,0
223,0.251,384,0
224,0.268,392,0
225,0.339,390,0
226,0.329,394,0
227,0.199,394,0
228,0.198,390,0
229,0.354,395,0
230,0.222,392,0
231,0.319,390,0
232,0.202,390,0
233,0.252,393,0
234,0.319,394,0
235,0.284,395,0
236,0.307,396,0
237,0.219,391,0
238,0.222,387,0
239,0.325,389,0
240,0.243,386,0
241,0.275,385,0
242,0.193,385,0
243,0.198,390,0
244,0.208,394,0
245,0.198,397,0
246,0.333,395,0
247,0.2,394,0
248,0.216,391,0
249,0.293,394,0
250,0.43,396,0
251,0.385,395,0
252,0.323,392,0
253,0.197,395,0
254,0.209,397,0
255,0.353,396,0
256,0.316,396,0
257,0.22,398,0
258,0.309,395,0
259,0.215,403,0
260,0.274,398,0
261,0.214,401,0
262,0.218,399,0
263,0.232,399,0
264,0.2,395,0
265,0.194,396,0
266,0.328,400,0
267,0.361,392,0
268,0.217,387,0
269,0.345,387,0
270,0.241,390,0
271,0.299,387,0
272,0.332,387,0
273,0.207,390,0
274,0.205,389,0
275,0.221,386,0
276,0.198,382,0
277,0.321,384,0
278,0.188,384,0
279,0.217,391,0
280,0.2,393,0
281,0.268,391,0
282,0.269,395,0
283,0.309,397,0
284,0.252,392,0
285,0.231,400,0
286,0.2,401,0
287,0.199,398,0
288,0.338,393,0
289,0.205,397,0
290,0.297,398,0
291,0.339,400,0
292,0.285,402,0
293,0.302,403,0
294,0.283,401,0
295,0.264,405,0
296,0.199,399,0
297,0.351,398,0
298,0.214,397,0
299,0.31,393,0
300,0.305,401,0
301,0.204,403,0
302,0.32,403,0
303,0.207,406,0
304,0.354,405,0
305,0.202,403,0
306,0.343,404,0
307,0.236,408,0
308,0.39,400,0
309,0.323,403,0
310,0.201,402,0
311,0.205,398,0
312,0.324,400,0
313,0.253,400,0
314,0.34,397,0
315,0.23,397,0
316,0.212,399,0
317,0.204,397,0
318,0.25,403,0
319,0.199,400,0
320,0.2,400,0
321,0.241,410,0
322,0.244,412,0
323,0.207,412,0
324,0.311,408,0
325,0.227,407,0
326,0.211,402,0
327,0.333,397,0
328,0.185,399,0
329,0.361,403,0
330,0.187,409,0
331,0.229,408,0
332,0.186,412,0
333,0.21,406,0
334,0.276,410,0
335,0.206,409,0
336,0.209,409,0
337,0.2,410,0
338,0.313,407,0
339,0.227,396,0
340,0.199,400,0
341,0.282,406,0
342,0.235,406,0
343,0.352,405,0
344,0.205,405,0
345,0.297,406,0
346,0.297,408,0
347,0.257,407,0
348,0.362,404,0
349,0.337,399,0
350,0.198,398,0
351,0.228,394,0
352,0.387,395,0
353,0.216,393,0
354,0.192,395,0
355,0.378,393,0
356,0.276,394,0
357,0.192,395,0
358,0.182,392,0
359,0.183,393,0
360,0.276,396,0
361,0.482,399,0
362,0.337,393,0
363,0.249,394,0
364,0.334,393,0
365,0.251,391,0
366,0.237,389,0
367,0.434,382,0
368,0.451,394,0
369,0.268,398,0
370,0.222,401,0
371,0.223,397,0
372,0.464,391,0
373,0.32,390,0
374,0.278,381,0
375,0.181,382,0
376,0.156,389,0
377,0.186,390,0
378,0.159,395,0
379,0.347,400,0
380,0.217,400,0
381,0.354,394,0
382,0.164,398,0
383,0.198,393,0
384,0.154,394,0
385,0.277,395,0
386,0.257,398,0
387,0.357,397,0
388,0.358,398,0
389,0.26,395,0
390,0.205,397,0
391,0.276,395,0
392,0.153,398,0
393,0.278,393,0
394,0.309,397,0
395,0.195,395,0
396,0.16,403,0
397,0.305,406,0
398,0.328,398,0
399,0.153,400,0
400,0.142,403,0
401,0.142,396,0
402,0.239,393,0
403,0.33,395,0
404,0.147,389,0
405,0.285,393,0
406,0.15,397,0
407,0.248,395,0
408,0.303,391,0
409,0.143,396,0
410,0.214,396,0
411,0.142,399,0
412,0.265,396,0
413,0.193,391,0
414,0.16,395,0
415,0.176,393,0
416,0.138,397,0
417,0.149,401,0
418,0.319,400,0
419,0.141,400,0
420,0.289,402,0
421,0.137,404,0
422,0.205,403,0
423,0.246,397,0
424,0.161,400,0
425,0.178,402,0
426,0.28,404,0
427,0.154,401,0
428,0.154,403,0
429,0.135,412,0
430,0.146,410,0
431,0.141,407,0
432,0.144,401,0
433,0.155,411,0
434,0.178,403,0
435,0.16,409,0
436,0.21,406,0
437,0.148,398,0
438,0.178,400,0
439,0.151,401,0
440,0.261,409,0
441,0.239,406,0
442,0.257,401,0
443,0.193,405,0
444,0.325,399,0
445,0.14,400,0
446,0.225,402,0
447,0.205,403,0
448,0.167,406,0
449,0.241,399,0
450,0.293,394,0
451,0.254,394,0
452,0.144,395,0
453,0.139,392,0
454,0.137,399,0
455,0.211,401,0
456,0.125,399,0
457,0.126,402,0
458,0.123,404,0
459,0.126,402,0
460,0.128,395,0
461,0.132,399,0
462,0.186,399,0
463,0.173,403,0
464,0.146,406,0
465,0.145,403,0
466,0.182,407,0
467,0.151,403,0
468,0.221,404,0
469,0.293,406,0
470,0.171,397,0
471,0.272,396,0
472,0.199,399,0
473,0.211,396,0
474,0.212,392,0
475,0.273,390,0
476,0.187,392,0
477,0.152,394,0
478,0.156,395,0
479,0.391,396,0
480,0.156,402,0
481,0.279,399,0
482,0.155,394,0
483,0.146,393,0
484,0.141,400,0
485,0.206,397,0
486,0.134,404,0
487,0.145,400,0
488,0.127,399,0
489,0.127,406,0
490,0.232,401,0
491,0.136,396,0
492,0.14,396,0
493,0.14,393,0
494,0.154,391,0
495,0.144,383,0
496,0.229,392,0
497,0.142,393,0
498,0.182,398,0
499,0.167,392,0
500,0.168,384,0
501,0.175,383,0
502,0.309,384,0
503,0.179,385,0
504,0.18,383,0
505,0.268,383,0
506,0.277,378,0
507,0.246,385,0
508,0.292,385,0
509,0.295,385,0
510,0.273,382,0
511,0.277,385,0
512,0.2,381,0
513,0.304,386,0
514,0.199,387,0
515,1.475,391,0
516,0.252,385,0
517,0.219,388,0
518,0.28,387,0
519,0.259,384,0
520,0.287,392,0
521,0.298,384,0
522,0.2,386,0
523,0.205,384,0
524,0.314,385,0
525,0.281,393,0
526,0.252,388,0
527,0.198,394,0
528,0.235,392,0
529,0.242,393,0
530,0.246,388,0
531,0.255,394,0
532,0.48,388,0
533,0.297,389,0
534,0.429,390,0
535,0.379,393,0
536,0.359,390,0
537,0.282,391,0
538,0.475,387,0
539,0.367,388,0
540,0.199,387,0
541,0.314,390,0
542,0.311,383,0
543,0.342,388,0
544,0.192,388,0
545,0.188,388,0
546,0.323,389,0
547,0.264,391,0
548,0.245,394,0
549,0.186,393,0
550,0.27,391,0
551,0.227,396,0
552,0.191,398,0
553,0.235,392,0
554,0.188,395,0
555,0.271,386,0
556,0.183,384,0
557,0.253,387,0
558,0.203,392,0
559,0.329,385,0
560,0.186,387,0
561,0.19,385,0
562,0.309,388,0
563,0.184,388,0
564,0.179,385,0
565,0.341,389,0
566,0.18,388,0
567,0.188,382,0
568,0.322,379,0
569,0.332,379,0
570,0.262,383,0
571,0.306,379,0
572,0.317,381,0
573,0.251,378,0
574,0.275,385,0
575,0.311,379,0
576,0.194,377,0
577,0.2,381,0
578,0.195,374,0
579,0.253,374,0
580,0.191,377,0
581,0.221,378,0
582,0.194,376,0
583,0.225,385,0
584,0.34,384,0
585,0.188,379,0
586,0.276,379,0
587,0.243,385,0
588,0.192,378,0
589,0.188,382,0
590,0.312,383,0
591,0.202,378,0
592,0.176,387,0
593,0.191,380,0
594,0.195,384,0
595,0.199,378,0
596,0.192,381,0
597,0.28,383,0
598,0.328,390,0
599,0.203,390,0
600,0.327,385,0
601,0.289,385,0
602,0.31,378,0
603,0.283,385,0
604,0.31,384,0
605,0.285,385,0
606,0.233,389,0
607,0.379,387,0
608,0.3,389,0
609,0.276,391,0
610,0.197,380,0
611,0.286,379,0
612,0.208,375,0
613,0.174,377,0
614,0.213,380,0
615,0.181,382,0
616,0.337,381,0
617,0.238,384,0
618,0.277,387,0
619,0.245,380,0
620,0.238,379,0
621,0.185,379,0
622,0.211,381,0
623,0.187,384,0
624,0.251,386,0
625,0.18,377,0
626,0.319,380,0
627,0.204,375,0
628,0.187,374,0
629,0.174,377,0
630,0.173,374,0
631,0.189,378,0
632,0.29,379,0
633,0.181,380,0
634,0.22,370,0
635,0.225,369,0
636,0.293,367,0
637,0.175,370,0
638,0.231,377,0
639,0.197,364,0
640,0.25,375,0
641,0.187,365,0
642,0.18,368,0
643,0.236,363,0
644,0.288,366,0
645,0.254,362,0
646,0.231,362,0
647,0.201,362,0
648,0.216,362,0
649,0.296,362,0
650,0.18,357,0
651,0.169,359,0
652,0.185,360,0
653,0.224,350,0
654,0.305,354,0
655,0.254,359,0
656,0.307,359,0
657,0.273,361,0
658,0.174,359,0
659,0.285,358,0
660,0.192,356,0
661,0.202,352,0
662,0.344,357,0
663,0.193,362,0
664,0.324,361,0
665,0.292,366,0
666,0.282,361,0
667,0.175,362,0
668,0.187,368,0
669,0.359,353,0
670,0.229,354,0
671,0.328,359,0
672,0.293,355,0
673,0.186,351,0
674,0.262,350,0
675,0.286,357,0
676,0.265,359,0
677,0.185,357,0
678,0.292,359,0
679,0.176,359,0
680,0.195,358,0
681,0.193,358,0
682,0.286,358,0
683,0.199,359,0
684,0.171,358,0
685,0.172,359,0
686,0.195,361,0
687,0.235,358,0
688,0.289,353,0
689,0.224,351,0
690,0.279,351,0
691,0.205,353,0
692,0.178,351,0
693,0.286,344,0
694,0.312,350,0
695,0.286,346,0
696,0.344,352,0
697,0.269,354,0
698,0.229,358,0
699,0.19,348,0
700,0.229,353,0
701,0.218,355,0
702,0.267,358,0
703,0.254,355,0
704,0.354,352,0
705,0.571,352,0
706,0.356,354,0
707,0.507,364,0
708,0.422,363,0
709,0.239,353,0
710,0.196,362,0
711,0.174,358,0
712,0.219,356,0
713,0.448,358,0
714,0.214,359,0
715,0.195,359,0
716,0.17,360,0
717,0.233,354,0
718,0.288,353,0
719,0.313,354,0
720,0.318,356,0
721,0.265,357,0
722,0.352,354,0
723,0.33,359,0
724,0.15,354,0
725,0.27,355,0
726,0.161,359,0
727,0.177,356,0
728,0.151,352,0
729,0.14,362,0
730,0.149,355,0
731,0.185,355,0
732,0.141,359,0
733,0.273,362,0
734,0.144,359,0
735,0.137,363,0
736,0.262,355,0
737,0.171,354,0
738,0.138,354,0
739,0.189,360,0
740,0.138,355,0
741,0.321,353,0
742,0.26,353,0
743,0.225,354,0
744,0.139,352,0
745,0.155,350,0
746,0.265,355,0
747,0.137,351,0
748,0.4,355,0
749,0.25,353,0
750,0.332,355,0
751,0.207,356,0
752,0.278,355,0
753,0.204,356,0
754,0.291,355,0
755,0.26,358,0
756,0.182,354,0
757,0.184,364,0
758,0.213,358,0
759,0.288,360,0
760,0.184,356,0
761,0.244,356,0
762,0.302,352,0
763,0.188,350,0
764,0.178,357,0
765,0.32,351,0
766,0.192,358,0
767,0.165,357,0
768,0.205,356,0
769,0.165,352,0
770,0.166,354,0
771,0.268,352,0
772,0.312,358,0
773,0.379,362,0
774,0.191,353,0
775,0.38,359,0
776,0.183,354,0
777,0.237,349,0
778,0.173,342,0
779,0.238,345,0
780,0.253,346,0
781,0.17,350,0
782,0.24,351,0
783,0.333,347,0
784,0.243,352,0
785,0.178,354,0
786,0.21,351,0
787,0.207,355,0
788,0.169,351,0
789,0.237,346,0
790,0.305,348,0
791,0.227,351,0
792,0.171,353,0
793,0.225,355,0
794,0.247,355,0
795,0.181,354,0
796,0.168,352,0
797,0.239,360,0
798,0.172,362,0
799,0.349,358,0
800,0.162,359,0
801,0.162,360,0
802,0.161,356,0
803,0.211,358,0
804,0.245,356,0
805,0.279,356,0
806,0.19,350,0
807,0.152,348,0
808,0.318,350,0
809,0.163,343,0
810,0.258,348,0
811,0.268,338,0
812,0.161,345,0
813,0.284,345,0
814,0.163,342,0
815,0.171,352,0
816,0.257,347,0
817,0.253,345,0
818,0.205,347,0
819,0.287,346,0
820,0.203,348,0
821,0.167,350,0
822,0.173,346,0
823,0.215,351,0
824,0.365,352,0
825,0.196,352,0
826,0.243,348,0
827,0.164,351,0
828,0.18,355,0
829,0.184,360,0
830,0.337,363,0
831,0.172,357,0
832,0.173,361,0
833,0.167,357,0
834,0.163,358,0
835,0.222,367,0
836,0.175,366,0
837,0.159,365,0
838,0.164,368,0
839,0.279,364,0
840,0.354,364,0
841,0.166,362,0
842,0.174,356,0
843,0.171,358,0
844,0.244,365,0
845,0.175,362,0
846,0.167,363,0
847,0.273,361,0
848,0.288,360,0
849,0.288,361,0
850,0.174,360,0
851,0.177,360,0
852,0.17,363,0
853,0.258,370,0
854,0.297,361,0
855,0.162,356,0
856,0.211,363,0
857,0.169,356,0
858,0.262,363,0
859,0.181,362,0
860,0.165,362,0
861,0.163,370,0
862,0.171,366,0
863,0.178,378,0
864,0.252,372,0
865,0.268,364,0
