Iteration,Temps_Fourmis_ms,Temps_Evaporation_ms,Temps_Update_ms
10,4.35415,1.00558,0.0226386
20,4.9209,1.09418,0.025956
30,5.12774,1.11475,0.0215174
40,4.68105,1.14602,0.0227153
50,4.61901,1.15032,0.0282158
60,4.62298,1.18336,0.0296276
70,4.59952,1.11393,0.0279589
80,4.38749,1.03536,0.0261904
90,4.30313,1.05062,0.0266682
100,4.35303,1.1071,0.0329661
110,4.34813,0.976649,0.0253606
120,4.35656,0.9342,0.0196767
130,3.57222,0.849793,0.0182162
140,4.49767,0.776191,0.0123095
150,3.52998,0.746383,0.0119629
160,2.7215,0.68101,0.0102247
170,2.4727,0.620906,0.0091417
180,4.58778,0.940093,0.0170339
190,4.27795,1.07784,0.0332437
200,4.11719,0.998071,0.022957
210,4.43155,1.10388,0.0335299
220,4.04612,0.962615,0.0182344
230,4.87331,1.05394,0.024576
240,3.84933,1.00714,0.0267029
250,4.52597,1.04959,0.0254634
260,4.60819,0.998047,0.0221383
270,4.24784,1.08755,0.0301516
280,4.29377,1.12329,0.0340403
290,4.37747,1.10879,0.034838
300,4.33246,1.01639,0.0265437
310,4.25334,1.02579,0.0256772
320,4.32019,1.00295,0.0267344
330,4.19812,1.03346,0.0327011
340,4.17891,1.04296,0.0399941
350,3.63513,1.00995,0.0419535
360,3.93131,1.06146,0.0415712
370,4.28532,1.07452,0.038426
380,4.15065,1.09347,0.0393287
390,4.36524,1.08281,0.0326932
400,4.10448,0.975008,0.0254176
410,4.02917,1.00669,0.0305226
420,4.2088,1.05244,0.0276913
430,4.04935,1.01767,0.0348598
440,4.00213,1.0133,0.025781
450,3.99694,1.04756,0.0368687
460,4.4116,1.16192,0.0365746
470,3.97355,1.08046,0.0353414
480,3.62847,0.953759,0.033683
490,3.65766,0.92703,0.0278317
500,3.65019,0.926512,0.029704
510,4.03587,1.05751,0.031529
520,4.21634,1.05921,0.0302002
530,3.90541,0.973242,0.0301758
540,5.67412,1.04438,0.0174575
550,3.42336,0.797411,0.0219967
560,4.08332,0.987859,0.0261749
570,3.6812,0.977595,0.0351807
580,3.79781,1.00432,0.0325349
590,3.95444,0.97148,0.0335445
600,3.70422,0.957494,0.0378537
610,3.44864,0.938483,0.0369582
620,3.63776,0.961167,0.0323233
630,3.77801,0.983736,0.0344674
640,3.7737,0.876315,0.0228404
650,3.6734,0.948221,0.0345797
660,3.54487,0.953254,0.0336745
670,3.83633,0.91109,0.0326224
680,3.73461,0.986947,0.0341913
690,3.8135,0.943356,0.0325908
700,3.43433,0.93302,0.0358988
710,3.68633,0.889194,0.0225312
720,3.85199,0.88211,0.0170358
730,3.18375,0.742422,0.0128285
740,3.84768,0.780798,0.0143949
750,3.47611,0.859884,0.0138722
760,3.63584,0.897127,0.0168819
770,3.17177,0.818788,0.0203747
780,3.78167,0.884085,0.0258664
790,3.45443,0.922896,0.027268
800,3.2414,0.917309,0.0314144
810,3.5058,0.919265,0.0225825
820,3.5209,0.903222,0.0292272
830,3.29472,0.833552,0.0295759
840,3.00865,0.771752,0.0261587
850,3.40397,0.809637,0.0174288
860,3.58828,0.891966,0.03229
870,3.23525,0.820624,0.0290907
880,2.95639,0.781906,0.023815
890,3.37311,0.813902,0.0233275
900,2.89202,0.730707,0.022226
910,3.26523,0.878811,0.0289077
920,3.59696,0.901003,0.021555
930,3.19467,0.741807,0.0159725
940,3.0433,0.845405,0.0328849
950,3.24662,0.78759,0.0196692
960,2.78668,0.689418,0.0123149
970,2.69277,0.640867,0.0123126
980,2.69888,0.769704,0.0217115
990,3.37388,0.86839,0.0306666
1000,2.63594,0.704679,0.0240429
1010,2.7417,0.745311,0.0244808
1020,3.0613,0.853658,0.025229
1030,2.63121,0.773746,0.0197074
1040,3.08179,0.804443,0.0224463
1050,3.07996,0.757123,0.0160314
1060,3.27837,0.726963,0.0131629
1070,3.23932,0.751431,0.017623
1080,3.25227,0.770818,0.0146565
1090,2.81585,0.710094,0.012497
1100,2.92744,0.796511,0.0253231
1110,3.82445,0.917715,0.0199351
1120,3.71863,0.905605,0.0247536
1130,2.94775,0.79376,0.0290891
1140,2.25129,0.686476,0.0180436
1150,2.89539,0.813439,0.0263072
1160,2.79323,0.744829,0.0167452
1170,2.85046,0.76241,0.0247571
1180,2.23513,0.652424,0.0192817
1190,3.403,0.897884,0.0258221
1200,3.5988,0.80085,0.0214348
1210,2.40172,0.692194,0.0199835
1220,3.46934,0.79834,0.0181159
1230,2.22429,0.552333,0.0092854
1240,2.34933,0.612029,0.0100529
1250,2.83138,0.713276,0.0164931
1260,2.81595,0.800594,0.0207589
1270,2.75407,0.733112,0.0210287
1280,2.25286,0.606352,0.0133521
1290,2.27893,0.617665,0.0123217
1300,2.16367,0.572018,0.0119132
1310,2.24449,0.587751,0.0100683
1320,2.80779,0.778703,0.0225521
1330,2.16605,0.596256,0.0167421
1340,2.50594,0.658214,0.0192793
1350,2.62905,0.670527,0.0118145
1360,2.11096,0.618596,0.0090897
1370,2.20497,0.567547,0.0080824
1380,2.49927,0.627026,0.0113264
1390,2.10808,0.559977,0.0145287
1400,2.23104,0.622987,0.0185353
1410,2.12033,0.625962,0.0160716
1420,2.11286,0.620054,0.0161373
1430,3.6725,1.01036,0.0225277
1440,2.14621,0.646534,0.0176012
1450,2.62339,0.636024,0.0125656
1460,2.40631,0.548063,0.0088494
1470,2.10665,0.545665,0.0077431
1480,2.1316,0.572235,0.0125711
1490,2.14854,0.553772,0.0109747
1500,2.39764,0.688426,0.0195331
1510,3.2004,0.858209,0.0255164
1520,2.42104,0.568406,0.0194426
1530,2.12098,0.58245,0.0149078
1540,2.3822,0.66089,0.0186211
1550,2.41552,0.594991,0.0127139
1560,2.40681,0.664776,0.0185978
1570,2.25454,0.571038,0.0114153
1580,2.78584,0.762904,0.0179313
1590,2.49929,0.567839,0.0121903
1600,2.23338,0.617352,0.0159359
1610,2.64104,0.644516,0.0198963
1620,2.23413,0.587425,0.0101238
1630,2.26699,0.602233,0.0100357
1640,1.97932,0.581988,0.009645
1650,2.2559,0.578798,0.0092137
1660,2.44857,0.701198,0.0187496
1670,1.99981,0.663939,0.0175756
1680,2.55442,0.620344,0.0121502
1690,1.96844,0.57843,0.0108344
1700,1.90138,0.61599,0.0143223
1710,3.35858,0.773265,0.0122083
1720,1.89394,0.53203,0.0104492
1730,2.02238,0.508775,0.010745
1740,2.01743,0.526005,0.0129735
1750,1.98551,0.451692,0.0088684
1760,1.93715,0.462445,0.0076794
1770,2.50311,0.654179,0.0125839
1780,1.88336,0.50029,0.0137995
1790,1.985,0.556811,0.0168697
1800,2.07333,0.506994,0.0151199
1810,2.07436,0.611045,0.0158238
1820,1.83975,0.509987,0.013637
1830,1.87684,0.501043,0.0151287
1840,2.00415,0.598543,0.0156522
1850,2.27706,0.626692,0.0114626
1860,2.0797,0.579376,0.0147761
1870,1.84699,0.569002,0.0141744
1880,1.88893,0.486653,0.0135319
1890,1.83987,0.508321,0.0131782
1900,2.28277,0.53731,0.0100385
1910,2.59353,0.64798,0.0115225
1920,1.91541,0.482889,0.006969
1930,2.10068,0.528813,0.015192
1940,1.74708,0.492407,0.0141492
1950,1.8056,0.491702,0.0123253
1960,1.88395,0.534034,0.011923
1970,1.87211,0.540885,0.0119575
1980,1.79701,0.542377,0.0133532
1990,1.87371,0.546126,0.0143764
2000,1.90788,0.490814,0.0100386
2010,1.99789,0.557144,0.0082704
2020,1.74712,0.443586,0.0070657
2030,2.04393,0.566936,0.0100414
2040,1.79079,0.505675,0.0075702
2050,1.73645,0.444073,0.0072973
2060,1.70629,0.434592,0.0068859
2070,1.69797,0.459553,0.0070135
2080,1.73275,0.476581,0.0098366
2090,1.73794,0.41143,0.0070468
2100,1.71657,0.420768,0.0069251
2110,1.68441,0.48498,0.0071466
2120,1.72943,0.419266,0.0069409
2130,1.76952,0.478944,0.0088047
2140,1.98881,0.59348,0.0161218
2150,1.74418,0.533389,0.0138769
2160,1.75327,0.554133,0.0146964
2170,1.74645,0.515658,0.0134899
2180,1.72893,0.510141,0.0145162
2190,1.73605,0.511985,0.0137838
2200,1.80575,0.467995,0.0074041
2210,1.72446,0.50064,0.013361
2220,1.78091,0.545429,0.016177
2230,1.73287,0.508876,0.0141074
2240,2.4971,0.713907,0.0193767
2250,1.81366,0.540573,0.0137424
2260,1.73438,0.501016,0.0130387
2270,1.72073,0.519159,0.0137204
2280,1.80965,0.502738,0.0149232
2290,2.01416,0.573899,0.0154108
2300,2.31776,0.646844,0.0146699
2310,1.75232,0.517573,0.012461
2320,1.77675,0.465551,0.0077075
2330,1.74336,0.448623,0.0069065
2340,1.75889,0.501305,0.0070552
2350,1.73772,0.470178,0.0074024
2360,1.74702,0.460646,0.0081918
2370,1.72272,0.448371,0.0075314
2380,1.7335,0.445643,0.0077621
2390,1.80307,0.523007,0.0073411
2400,1.76937,0.514112,0.0092201
2410,1.8479,0.461682,0.008558
2420,1.80175,0.455986,0.0069321
2430,1.81006,0.488663,0.00878
2440,1.67643,0.448604,0.0074018
2450,1.71119,0.49551,0.0076758
2460,1.71578,0.516836,0.0164376
2470,1.71769,0.497603,0.0106999
2480,1.70675,0.466155,0.0070447
2490,1.80817,0.482813,0.0091528
2500,1.8023,0.456388,0.0082185
2510,1.79399,0.493985,0.0079191
2520,1.77061,0.473455,0.0083538
2530,1.70526,0.45376,0.0082205
2540,1.9129,0.515743,0.008844
2550,2.19736,0.634082,0.0174054
2560,1.71969,0.517229,0.0126264
2570,1.76743,0.540358,0.0134068
2580,1.73098,0.494599,0.0134625
2590,2.17656,0.625591,0.0202481
2600,2.01747,0.634413,0.015383
2610,2.20568,0.632998,0.0156093
2620,1.76833,0.497343,0.0140195
2630,2.01129,0.58726,0.0170706
2640,1.7373,0.486347,0.0146752
2650,1.71563,0.551211,0.0126245
2660,1.79596,0.562833,0.0131732
2670,1.78344,0.528759,0.0137017
2680,1.77978,0.50494,0.0138686
2690,1.78336,0.524578,0.0133102
2700,2.03524,0.515369,0.0084247
2710,1.67462,0.425466,0.0070463
2720,1.80215,0.458186,0.008044
2730,2.11871,0.624535,0.0174365
2740,1.82068,0.517836,0.0158345
2750,1.79406,0.491535,0.0145028
2760,1.83572,0.545093,0.014993
2770,1.85147,0.552065,0.0143973
2780,1.78187,0.541898,0.012411
2790,1.85132,0.465519,0.0075988
2800,1.80941,0.48074,0.0075703
2810,1.79254,0.466601,0.0077945
2820,1.76178,0.469271,0.0079565
2830,1.7951,0.503555,0.0067686
2840,1.72812,0.454966,0.0074313
2850,1.81049,0.485328,0.0092441
2860,1.73894,0.517946,0.0074555
2870,1.85423,0.444624,0.0073515
2880,1.84282,0.480615,0.0090538
