Iteration,Temps_Fourmis_ms,Temps_Evaporation_ms,Temps_Update_ms
10,0.971183,0.481558,0.02338
20,1.07433,0.606923,0.0208725
30,1.18739,0.639077,0.0264642
40,1.15807,0.574441,0.0403826
50,1.19522,0.652101,0.0278928
60,1.17263,0.618696,0.0300607
70,1.20248,0.675206,0.0295303
80,0.953335,0.543504,0.0221517
90,0.953004,0.490884,0.0213358
100,0.969163,0.498463,0.0362086
110,0.828384,0.35584,0.0193963
120,0.552409,0.310756,0.010119
130,0.86298,0.436393,0.0222267
140,0.934145,0.485423,0.0249186
150,0.968035,0.428187,0.022281
160,1.00709,0.439006,0.0217588
170,0.933407,0.42579,0.0333773
180,0.970101,0.45002,0.0262157
190,0.944001,0.469812,0.0259745
200,0.888192,0.395182,0.0347798
210,0.990267,0.441971,0.0297991
220,0.976202,0.424675,0.0303209
230,0.998033,0.474245,0.0229919
240,1.0899,0.513181,0.023866
250,1.06585,0.502557,0.025169
260,1.05466,0.490219,0.0332594
270,1.07766,0.499912,0.029939
280,1.03187,0.522312,0.0239767
290,0.919066,0.410822,0.0168002
300,0.975379,0.476274,0.022548
310,1.0749,0.448686,0.0253421
320,1.11655,0.539832,0.028061
330,1.10494,0.502769,0.0258268
340,1.15502,0.490132,0.0287437
350,1.14679,0.519152,0.0352868
360,0.988768,0.458,0.030442
370,1.10848,0.508665,0.0284624
380,1.10826,0.545933,0.0279842
390,1.10654,0.520223,0.0271537
400,1.15617,0.552449,0.0298196
410,1.16497,0.513476,0.0372644
420,1.19486,0.523686,0.0246071
430,1.21637,0.550548,0.0286698
440,1.19433,0.51494,0.0354895
450,1.1421,0.524258,0.0267155
460,1.16143,0.564855,0.0305377
470,1.17915,0.468885,0.0294135
480,1.19897,0.490869,0.0265212
490,1.19417,0.485393,0.0273673
500,1.18342,0.510322,0.0382252
510,1.23145,0.534458,0.0327823
520,1.21601,0.513992,0.0337651
530,1.17218,0.509254,0.0296097
540,1.11432,0.478272,0.0285997
550,1.07765,0.449163,0.0299878
560,0.999377,0.421922,0.0264954
570,1.0487,0.529937,0.0265696
580,1.08395,0.458039,0.029751
590,1.04703,0.481154,0.0322053
600,1.04101,0.511932,0.0271518
610,0.954497,0.415563,0.0238746
620,1.05892,0.430942,0.0372993
630,1.0115,0.457935,0.0276372
640,1.13524,0.468942,0.0279375
650,1.05846,0.508666,0.0292
660,1.09215,0.460656,0.0311877
670,1.093,0.495167,0.0296208
680,1.10047,0.543997,0.0354251
690,0.896165,0.33792,0.0145342
700,0.572039,0.22681,0.0135281
710,1.12514,0.491201,0.0274975
720,1.11061,0.511647,0.033668
730,1.05422,0.535865,0.0341505
740,1.01042,0.469374,0.022939
750,1.05618,0.472961,0.0275713
760,0.915933,0.471335,0.0224375
770,0.967,0.461631,0.0229677
780,0.927602,0.466238,0.0213964
790,1.02465,0.459196,0.036041
800,0.980466,0.485713,0.0232164
810,0.82919,0.51628,0.0212172
820,0.936896,0.443894,0.0291663
830,0.855793,0.424008,0.0217787
840,0.830441,0.456095,0.0286167
850,0.996714,0.481965,0.0273401
860,0.916291,0.468255,0.0257095
870,0.99903,0.444696,0.0204892
880,0.872624,0.37568,0.019608
890,0.892909,0.441335,0.0269677
900,0.902276,0.471339,0.0213867
910,0.814236,0.36099,0.0151672
920,0.734931,0.358863,0.0261433
930,0.835288,0.404268,0.0245523
940,0.755816,0.403645,0.0173811
950,0.851256,0.347183,0.0182643
960,0.837876,0.386164,0.0185253
970,0.760458,0.3895,0.0195239
980,0.810907,0.358361,0.0268583
990,0.786166,0.396344,0.0185592
1000,0.733252,0.357041,0.0233397
1010,0.822474,0.392508,0.0199464
1020,0.688817,0.351267,0.0197098
1030,0.596792,0.292241,0.0153768
1040,0.780519,0.337178,0.0142003
1050,0.676543,0.337895,0.0187862
1060,0.699703,0.333999,0.0152126
1070,0.679488,0.32424,0.0161794
1080,1.54163,0.574178,0.0101709
1090,0.622976,0.302214,0.0149393
1100,0.701388,0.317142,0.0174495
1110,0.586303,0.33601,0.0160194
1120,0.608411,0.314135,0.0165628
1130,0.728591,0.303516,0.0174463
1140,0.708384,0.360422,0.0157949
1150,0.624378,0.331532,0.0147913
1160,0.644181,0.35539,0.0152457
1170,0.567763,0.314317,0.0144179
1180,0.64283,0.327482,0.0180258
1190,0.699902,0.312682,0.0192992
1200,0.54336,0.290436,0.016065
1210,0.577566,0.313108,0.0190135
1220,0.670259,0.355631,0.0151077
1230,0.533013,0.323835,0.0114909
1240,0.684536,0.387539,0.018166
1250,0.674721,0.318848,0.0245476
1260,0.578685,0.26305,0.0104271
1270,0.599782,0.346757,0.0129194
1280,0.585235,0.316301,0.0100214
1290,0.63588,0.349172,0.0145318
1300,0.677672,0.326247,0.0198491
1310,0.583286,0.295493,0.0142795
1320,0.619772,0.337827,0.019032
1330,0.58634,0.33887,0.0158565
1340,0.621221,0.339236,0.0167451
1350,0.558409,0.289823,0.0169255
1360,0.484686,0.309562,0.0108619
1370,0.562137,0.329318,0.0129307
1380,0.576522,0.301242,0.0116511
1390,0.519131,0.289988,0.017255
1400,0.622667,0.302812,0.0174555
1410,0.549685,0.293715,0.0134067
1420,0.577396,0.340388,0.0172132
1430,0.537208,0.282761,0.0095428
1440,0.531695,0.284854,0.0134762
1450,0.531802,0.312031,0.0116999
1460,0.620807,0.288182,0.0120711
1470,0.617443,0.289596,0.0117353
1480,0.648256,0.323496,0.0171917
1490,0.686945,0.331812,0.0127146
1500,0.489394,0.264091,0.0096535
1510,0.54475,0.307644,0.0151946
1520,0.47548,0.264085,0.0130327
1530,0.594387,0.316108,0.0113817
1540,0.542223,0.25198,0.0109309
1550,0.543991,0.289585,0.0094995
1560,0.543165,0.310035,0.0156755
1570,0.528266,0.2851,0.0115641
1580,0.596263,0.257853,0.0120279
1590,0.545792,0.269775,0.0092352
1600,0.555449,0.276387,0.0147744
1610,0.484586,0.256021,0.0090908
1620,0.539663,0.284759,0.0106682
1630,0.590111,0.277666,0.011836
1640,0.502902,0.251736,0.009655
1650,0.472927,0.274094,0.0110038
1660,0.4403,0.248777,0.0101992
1670,0.535515,0.244952,0.0106231
1680,0.550536,0.288547,0.0123367
1690,0.500856,0.275072,0.0115232
1700,0.422875,0.201893,0.0069298
1710,0.574691,0.288239,0.0126104
1720,0.522596,0.26961,0.011627
1730,0.520353,0.325722,0.011411
1740,0.520444,0.248451,0.0097593
1750,0.55785,0.286177,0.0114127
1760,0.537845,0.309059,0.0084372
1770,0.571655,0.308509,0.0121929
1780,0.491025,0.310191,0.0093188
1790,0.598965,0.298886,0.0150569
1800,0.46665,0.314935,0.0096336
1810,0.552769,0.289352,0.0086571
1820,0.514128,0.287636,0.0095155
1830,0.618085,0.348305,0.0091976
1840,0.650074,0.303813,0.0176266
1850,0.774902,0.316656,0.009494
1860,0.557707,0.242679,0.0068147
1870,0.511645,0.25139,0.0091989
1880,0.491936,0.255238,0.0088959
1890,0.496284,0.292277,0.0078131
1900,0.485357,0.258391,0.009942
1910,0.432019,0.265982,0.0123207
1920,0.524211,0.250736,0.0114646
1930,0.482566,0.236504,0.0079622
1940,0.54984,0.285461,0.0106625
1950,0.490385,0.266665,0.0115071
1960,0.571484,0.303358,0.0100645
1970,0.416239,0.250316,0.0095905
1980,0.520383,0.291188,0.0105321
1990,0.448777,0.280081,0.0077181
2000,0.470127,0.232443,0.0083975
2010,0.426467,0.241044,0.0101811
2020,0.511229,0.259007,0.011499
2030,0.476995,0.292753,0.0093584
2040,0.504532,0.215532,0.0081146
2050,0.518201,0.268215,0.0082978
2060,0.448944,0.243935,0.0087529
2070,0.48524,0.22209,0.0077419
2080,0.499324,0.241658,0.0081446
